mapped_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study,x,y,z
AWN,-,Ly-6,Varanus komodoensis,Anguimorpha,-1.2847933,8.201241,-1.5879595
AWO,-,snake genomic,Naja naja,Elapidae,-1.1122181,8.537712,-1.4574997
AWP,-,Ly-6,Pogona vitticeps,Agamidae,-1.2517307,8.729568,-1.8312293
AWQ,-,snake genomic,Naja naja,Elapidae,10.91127,6.373629,8.398834
AWR,-,Ly-6,Phascolarctos cinctus,Marsupials,-1.0618265,8.400885,-1.7266735
AWS,-,Ly-6,Varanus komodoensis,Anguimorpha,9.883188,7.2437515,7.4877386
AWT,LY6H,Ly-6,Homo sapiens,Placentalia,-0.549004,7.0487823,-1.5761802
AWU,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.39931178,7.5651345,-1.4386958
AWV,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.95061195,7.5795407,-1.5162864
AWW,LY6D,Ly-6,Homo sapiens,Placentalia,-0.9854437,7.752376,-1.2894679
AWX,-,Ly-6,Phascolarctos cinctus,Marsupials,-1.0292748,8.12663,-1.6971276
AWY,-,snake genomic,Naja naja,Elapidae,10.249588,5.114425,6.302548
AWZ,-,snake genomic,Naja naja,Elapidae,10.271149,5.3464,6.173118
AXA,-,snake genomic,Naja naja,Elapidae,10.348327,5.2312913,6.325316
AXB,-,snake genomic,Naja naja,Elapidae,11.613453,3.4268422,6.903822
AXC,-,snake genomic,Protobothrops mucrosquamatus,Viperidae,10.756431,3.2172735,4.4571075
AXD,-,Ly-6,Pogona vitticeps,Agamidae,10.127455,7.1468267,7.32869
AXE,-,snake genomic,Pseudonaja textilis,Elapidae,8.929906,0.33670866,0.28375277
AXF,-,snake genomic,Naja naja,Elapidae,9.726135,0.47590727,-0.08751929
AXG,-,snake genomic,Naja naja,Elapidae,9.647398,-0.23363616,-0.46073794
AXH,-,snake genomic,Naja naja,Elapidae,10.636127,1.9344085,2.4410906
AXI,-,snake genomic,Naja naja,Elapidae,9.095445,-0.755815,9.030027
AXJ,-,snake genomic,Naja naja,Elapidae,9.992664,-3.160942,9.497458
AXK,-,snake genomic,Naja naja,Elapidae,9.443195,-1.5199465,10.179969
AXL,-,snake genomic,Naja naja,Elapidae,8.706917,-1.2613418,9.402635
AXM,-,snake genomic,Naja naja,Elapidae,8.603635,-1.4439858,9.1745405
AXN,-,snake genomic,Naja naja,Elapidae,8.8098545,-1.379412,9.251322
AXO,-,snake genomic,Pseudonaja textilis,Elapidae,10.168556,7.221964,7.7175336
AXP,-,snake genomic,Naja naja,Elapidae,8.622738,-1.619822,9.628863
AXQ,-,snake genomic,Protobothrops mucrosquamatus,Viperidae,10.773387,3.5702243,5.3111367
AXR,-,snake genomic,Protobothrops mucrosquamatus,Viperidae,10.363551,4.0478435,5.525342
AXS,-,snake genomic,Naja naja,Elapidae,11.651619,4.0576615,6.3908353
AXT,-,snake genomic,Pseudonaja textilis,Elapidae,11.669184,4.131241,6.6342278
AXU,-,snake genomic,Naja naja,Elapidae,12.373356,3.1498199,6.3366475
AXV,-,snake genomic,Naja naja,Elapidae,11.606811,3.3694856,6.6908226
AXW,-,snake genomic,Naja naja,Elapidae,11.28057,3.5755923,6.9715333
AXX,-,snake genomic,Naja naja,Elapidae,10.405313,2.1223364,3.01911
AXY,-,snake genomic,Naja naja,Elapidae,10.57406,2.6015663,3.2711015
AXZ,-,Ly-6,Anolis carolinensis,Dactyloidae,10.259825,7.2851086,7.4457736
AYA,-,Ly-6,Phascolarctos cinctus,Marsupials,-1.0669805,7.8332787,-1.8796957
AYB,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.8565922,8.167143,-1.5623498
AYC,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.49960396,7.3360453,-1.4173054
AYD,LYNX1 (ly-6/neurotoxin-like protein 1),Ly-6,Homo sapiens,Placentalia,-0.5968266,7.775334,-1.7758251
AYE,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.5367176,7.7794137,-1.9430946
AYF,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-1.3122004,8.442018,-2.0209675
AYG,-,Ly-6,Phascolarctos cinctus,Marsupials,-0.68415886,7.5371523,-1.4979692
AYH,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.6671172,7.7631364,-1.2692994
AYI,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.80297065,7.9295526,-1.4488055
AYJ,-,Ly-6,Alligator sinensis,Crocodilia,-1.1335726,8.3839245,-1.5677164
AYK,-,Ly-6,Varanus komodoensis,Anguimorpha,-1.2101166,8.540543,-1.9253919
AYL,LYNX1-SLURP2,Ly-6,Homo sapiens,Placentalia,9.95817,7.025176,7.521288
AYM,-,Ly-6,Ornithorhynchus anatinus,Monotremata,-0.43816662,8.235332,-2.0145974
AYN,Fulditoxin ,3FTx,Micrurus fulvius ,Elapidae,11.181591,-1.6679473,3.0923245
AYO,Haditoxin ,3FTx,Ophiophagus hannah ,Elapidae,10.372442,1.7147235,2.0102994
AYP,Irditoxin both subunnits ,3FTx,Boiga irregularis ,Colubridae,7.5541296,7.2207856,9.564001
AYQ,Irditoxin both subunnits ,3FTx,Boiga irregularis ,Colubridae,7.4301248,7.148209,9.67762
AYR,Clarkitoxin1 ,3FTx,Micrurus clarki ,Elapidae,12.025215,-2.123217,8.44179
AYS,ClarkitoxinIMdum ,3FTx,Micrurus dumerilii ,Elapidae,11.925772,-2.171647,8.379844
AYT,Threefinger toxin MALT0044C ,3FTx,Micrurus altirostris ,Elapidae,9.486443,3.3658268,1.9011235
AYU,Threefinger toxin 3FTx2 ,3FTx,Micrurus corallinus ,Elapidae,9.472186,3.3117816,2.0640988
AYV,-,Ly-6,Anolis carolinensis,Dactyloidae,-0.83785236,8.672446,-1.9196733
AYW,Toxin 3FTxTri2 ,3FTx,Trimorphodon biscutatus ,Colubridae,10.934306,6.3592367,8.918629
AYX,Toxin 3FTxTri3 ,3FTx,Trimorphodon biscutatus ,Colubridae,7.572438,6.485135,9.42063
AYY,Denmotoxin ,3FTx,Boiga dendrophila ,Colubridae,11.033561,7.2981386,8.468472
AYZ,Alphacolubritoxin ,3FTx,Coelognathus radiatus ,Colubridae,11.604324,6.97059,9.043383
AZA,Fulgimotoxin ,3FTx,Oxybelis fulgidus ,Colubridae,11.38731,6.588898,8.77712
AZB,Toxin 3FTxTel4 ,3FTx,Telescopus dhara ,Colubridae,11.079309,6.8743763,8.910622
AZC,Muscarinic toxin BM14 ,3FTx,Bungarus multicinctus ,Elapidae,15.670972,6.7326307,0.7095933
AZD,Toxin BMLCL ,3FTx,Bungarus multicinctus ,Elapidae,15.85326,6.609637,0.81133044
AZE,Cytotoxinlike protein TABMBGT3 ,3FTx,Bungarus multicinctus ,Elapidae,15.641599,6.712322,0.69558835
AZF,-,Ly-6,Pogona vitticeps,Agamidae,-1.0769482,8.564876,-2.0211508
AZG,Toxin 3FTxPsa1 ,3FTx,Psammophis mossambicus ,Psammophiidae,11.739985,5.0142055,6.4310465
AZH,Toxin 3FTxDis4 ,3FTx,Dispholidus typus ,Colubridae,11.405062,5.045083,5.575157
AZI,Toxin 3FTxThr5 ,3FTx,Thrasops jacksonii ,Colubridae,10.730102,4.6839933,5.4119363
AZJ,Toxin Tx7335 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.91764,0.25373983,3.1197333
AZK,Threefinger toxin MicTx3 ,3FTx,Micrurus corallinus ,Elapidae,10.49394,1.4308422,2.0727205
AZL,-,Ly-6,Alligator sinensis,Crocodilia,-1.295749,8.881875,-2.3141422
AZM,Threefinger toxin MALT0070C ,3FTx,Micrurus altirostris ,Elapidae,9.843862,-0.5675788,4.4503164
AZN,Alphaneurotoxin homolog 1 ,3FTx,Micrurus corallinus ,Elapidae,10.159493,0.46938157,0.7947107
AZO,Alphaneurotoxin homolog 7 ,3FTx,Micrurus corallinus ,Elapidae,10.170381,0.30983514,0.62892914
AZP,Threefinger toxin MALT0065C ,3FTx,Micrurus altirostris ,Elapidae,10.148679,0.5413187,1.8354831
AZQ,Short neurotoxin homolog ,3FTx,Bungarus multicinctus ,Elapidae,9.895725,1.5778538,1.7455095
AZR,Cytotoxin homolog S4C8 ,3FTx,Aspidelaps scutatus ,Elapidae,9.961686,2.5161421,3.6610703
AZS,Cytotoxin homolog Clbp3 ,3FTx,Naja atra ,Elapidae,9.022369,-0.91685677,9.417523
AZT,Cytotoxin homolog ,3FTx,Hemachatus haemachatus ,Elapidae,11.454675,-1.8820674,8.211497
AZU,Cytotoxin homolog 2 ,3FTx,Naja melanoleuca ,Elapidae,10.883732,-2.0752337,8.43562
AZV,Cytotoxin homolog 3 ,3FTx,Naja melanoleuca ,Elapidae,10.558765,-1.9858272,8.499757
AZW,-,Ly-6,Chelonia mydas,Testudines,-1.1477293,9.095065,-2.3185837
AZX,Cytotoxin 7 ,3FTx,Naja atra ,Elapidae,11.342621,-2.5035312,8.25265
AZY,Cytotoxin 11 ,3FTx,Naja annulifera ,Elapidae,11.090549,-2.4973807,8.383032
AZZ,Cytotoxin homolog ,3FTx,Naja kaouthia ,Elapidae,10.954185,-2.2565608,8.16384
BAA,MuelapitoxinNa1a ,3FTx,Naja atra ,Elapidae,10.846969,-2.2035518,8.083686
BAB,Cytotoxin homolog 5 ,3FTx,Naja atra ,Elapidae,11.080564,-2.336073,8.274138
BAC,Cardiotoxin 7a ,3FTx,Naja atra ,Elapidae,11.190162,-2.2969806,8.2893305
BAD,Cytotoxin A5 ,3FTx,Naja atra ,Elapidae,10.983903,-2.3930025,8.248615
BAE,Cytotoxin homolog 5V ,3FTx,Naja atra ,Elapidae,11.127848,-2.2578313,8.33686
BAF,Betacardiotoxin CTX23 ,3FTx,Ophiophagus hannah ,Elapidae,8.901691,-0.60081637,8.720475
BAG,Betacardiotoxin CTX21 ,3FTx,Ophiophagus hannah ,Elapidae,8.7259655,-0.74295807,8.609375
BAH,-,Ly-6,Gallus gallus,Galliformes,-1.1866205,8.760622,-2.2632096
BAI,-,Ly-6,Phascolarctos cinctus,Marsupials,-1.2525321,8.607554,-2.0584717
BAJ,Betacardiotoxin CTX14 ,3FTx,Ophiophagus hannah ,Elapidae,8.8781395,-0.699439,8.813858
BAK,Betacardiotoxin CTX27 ,3FTx,Ophiophagus hannah ,Elapidae,8.880456,-0.6164504,8.974398
BAL,Betacardiotoxin CTX15 ,3FTx,Ophiophagus hannah ,Elapidae,8.890161,-0.69410074,8.886272
BAM,Betacardiotoxin CTX9 ,3FTx,Ophiophagus hannah ,Elapidae,8.910921,-0.7069433,8.812598
BAN,Cytotoxin homolog S3C2 ,3FTx,Aspidelaps scutatus ,Elapidae,11.23436,-2.4636798,8.382195
BAO,Cytotoxin 3 ,3FTx,Hemachatus haemachatus ,Elapidae,11.071008,-2.7650783,8.653419
BAP,Threefinger hemachatoxin ,3FTx,Hemachatus haemachatus ,Elapidae,10.999689,-2.8285997,8.482838
BAQ,Cytotoxin 1 ,3FTx,Hemachatus haemachatus ,Elapidae,11.066742,-2.8161044,8.625301
BAR,Cytotoxin 2 ,3FTx,Hemachatus haemachatus ,Elapidae,11.167717,-2.703083,8.68252
BAS,Cytotoxin 4 ,3FTx,Naja mossambica ,Elapidae,9.113709,-2.0442321,9.42023
BAT,-,Ly-6,Alligator sinensis,Crocodilia,-0.5226968,8.419913,-1.7695029
BAU,Cytotoxin 3 ,3FTx,Naja mossambica ,Elapidae,10.455516,-2.654593,9.187379
BAV,Naniproin ,3FTx,Naja nigricollis ,Elapidae,10.536435,-2.7726133,9.175225
BAW,Cytotoxin 2 ,3FTx,Naja mossambica ,Elapidae,9.906154,-2.3105745,9.289782
BAX,Cytotoxin 1 ,3FTx,Naja mossambica ,Elapidae,10.420031,-2.8105109,9.638738
BAY,Cytotoxin 1 ,3FTx,Naja pallida ,Elapidae,10.570048,-2.7100744,9.400563
BAZ,Cytotoxin 5 ,3FTx,Naja mossambica ,Elapidae,10.926371,-2.6457424,8.651496
BBA,Cytotoxin 2a ,3FTx,Naja naja ,Elapidae,9.382105,-1.4012728,9.839068
BBB,Cytotoxin 1b ,3FTx,Naja atra ,Elapidae,9.636498,-1.607788,10.132271
BBC,Cytotoxin 1 ,3FTx,Naja oxiana ,Elapidae,9.294071,-1.6716253,10.151979
BBD,Cytotoxin 1d/1e ,3FTx,Naja atra ,Elapidae,9.653664,-1.826118,10.228432
BBE,-,snake genomic,Protobothrops mucrosquamatus,Viperidae,9.998372,7.5543275,7.721925
BBF,Cytotoxin Ilike T15 ,3FTx,Naja atra ,Elapidae,9.376285,-1.9416382,10.0815935
BBG,Cytotoxin 1c ,3FTx,Naja atra ,Elapidae,9.479486,-1.5081059,10.014035
BBH,Cytotoxin Ilike P15 ,3FTx,Naja atra ,Elapidae,9.645424,-1.7155654,10.223604
BBI,Cytotoxin 1a ,3FTx,Naja atra ,Elapidae,9.338531,-1.4579494,9.990826
BBJ,Cytotoxin 1 ,3FTx,Naja atra ,Elapidae,9.617399,-1.8183312,10.040903
BBK,Cytotoxin 6 ,3FTx,Naja atra ,Elapidae,9.594108,-2.4199145,9.979549
BBL,Cytotoxin 10 ,3FTx,Naja atra ,Elapidae,9.385177,-1.0657499,9.162943
BBM,Cytotoxin 6 ,3FTx,Naja atra ,Elapidae,9.918506,-2.9225926,9.795012
BBN,Cytotoxin 8 ,3FTx,Naja atra ,Elapidae,9.867145,-3.0396538,9.627028
BBO,Cytotoxin 2 ,3FTx,Naja oxiana ,Elapidae,10.281141,-3.1918697,9.2456455
BBP,-,snake genomic,Naja naja,Elapidae,10.028111,7.4726386,7.7052193
BBQ,Cytotoxin Vc5 ,3FTx,Naja oxiana ,Elapidae,10.471617,-3.2118268,9.084143
BBR,Cytotoxin SP15d ,3FTx,Naja atra ,Elapidae,10.332891,-3.247233,9.469516
BBS,Cytotoxin SP15a ,3FTx,Naja atra ,Elapidae,10.285339,-3.2825642,9.159367
BBT,Cytotoxin SP15c ,3FTx,Naja atra ,Elapidae,10.438744,-3.2864082,9.329589
BBU,Cytotoxin 8 ,3FTx,Naja naja ,Elapidae,9.147988,-1.2701266,9.519764
BBV,Cytotoxin 7 ,3FTx,Naja naja ,Elapidae,8.828146,-1.2765509,9.342814
BBW,Cytotoxin SP13b ,3FTx,Naja atra ,Elapidae,8.709304,-1.483,9.177853
BBX,Cytotoxin 2 ,3FTx,Naja kaouthia ,Elapidae,8.773905,-1.6490575,9.50024
BBY,Cytotoxin 3 ,3FTx,Naja kaouthia ,Elapidae,8.854515,-1.7591742,9.340076
BBZ,Cytotoxin 1 ,3FTx,Naja naja ,Elapidae,8.791603,-1.2436947,9.259396
BCA,-,snake genomic,Pseudonaja textilis,Elapidae,10.0111,7.410575,7.6481266
BCB,Cytotoxin 3 ,3FTx,Naja naja ,Elapidae,8.942608,-1.4656228,9.159191
BCC,Cytotoxin 8 ,3FTx,Naja atra ,Elapidae,10.12382,-3.3534882,9.506237
BCD,Cytotoxin 3d ,3FTx,Naja atra ,Elapidae,9.791562,-3.081385,9.615963
BCE,Cytotoxin 5 ,3FTx,Naja kaouthia ,Elapidae,9.802643,-3.123813,9.541098
BCF,Cytotoxin sagitoxin ,3FTx,Naja sagittifera ,Elapidae,9.399446,-2.4940748,9.417415
BCG,Cytotoxin KJC3 ,3FTx,Naja sputatrix ,Elapidae,9.135631,-1.4836291,9.726934
BCH,Cytotoxin 4N ,3FTx,Naja atra ,Elapidae,9.257801,-1.9562366,9.669647
BCI,Cytotoxin 4 ,3FTx,Naja atra ,Elapidae,8.999409,-1.6336912,9.576459
BCJ,Cytotoxin ,3FTx,Naja sputatrix ,Elapidae,9.808963,-3.1628003,9.185629
BCK,Cytotoxin 2 ,3FTx,Naja atra ,Elapidae,9.065199,-1.8003517,9.664504
BCL,-,Ly-6,Chelonia mydas,Testudines,-0.21896613,8.505533,-2.0976293
BCM,Cytotoxin 5 ,3FTx,Naja atra ,Elapidae,9.505828,-2.4240525,9.436957
BCN,Cytotoxin 5 ,3FTx,Naja atra ,Elapidae,9.905009,-2.795605,9.246322
BCO,Cytotoxin 1 ,3FTx,Naja kaouthia ,Elapidae,8.8537655,-1.6846278,9.43996
BCP,Cytotoxin 10 ,3FTx,Naja naja ,Elapidae,10.228512,-3.0397854,9.253811
BCQ,Cytotoxin 2 ,3FTx,Naja naja ,Elapidae,9.945188,-2.9750135,9.577034
BCR,Cytotoxin 1 ,3FTx,Naja sputatrix ,Elapidae,9.9375725,-3.0964432,9.427374
BCS,Cytotoxin 2c ,3FTx,Naja sputatrix ,Elapidae,10.024543,-3.3763163,9.331366
BCT,Cytotoxin 3a ,3FTx,Naja atra ,Elapidae,10.008235,-2.866459,9.379683
BCU,Cytotoxin 4a ,3FTx,Naja sputatrix ,Elapidae,10.40433,-2.9213154,9.32334
BCV,Cytotoxin 4b ,3FTx,Naja sputatrix ,Elapidae,10.351089,-3.0725431,9.120051
BCW,-,Ly-6,Pogona vitticeps,Agamidae,-0.31984326,8.712189,-1.933799
BCX,Cytotoxin 3b ,3FTx,Naja atra ,Elapidae,9.772364,-2.8173041,9.641339
BCY,Cytotoxin 2 ,3FTx,Naja kaouthia ,Elapidae,9.613603,-2.7963927,9.456559
BCZ,Cytotoxin 2 ,3FTx,Naja nivea ,Elapidae,10.250912,-2.3413665,9.857034
BDA,Cytotoxin 5 ,3FTx,Naja annulifera ,Elapidae,10.236759,-2.5069754,9.919531
BDB,Cytotoxin 2 ,3FTx,Naja annulifera ,Elapidae,10.27412,-2.263726,9.873642
BDC,Cytotoxin 7 ,3FTx,Naja annulifera ,Elapidae,10.348116,-2.4168062,10.018645
BDD,Cytotoxin 6 ,3FTx,Naja annulifera ,Elapidae,10.401777,-2.3290768,9.7531
BDE,Cytotoxin 1 ,3FTx,Naja nivea ,Elapidae,9.404379,-1.1992309,9.283149
BDF,Cytotoxin 1 ,3FTx,Naja annulifera ,Elapidae,9.4349575,-1.2197293,9.310564
BDG,Cytotoxin 3 ,3FTx,Naja nivea ,Elapidae,9.365842,-1.411055,9.399753
BDH,LY6E,Ly-6,Homo sapiens,Placentalia,-0.12368882,7.536902,-1.8147953
BDI,Cytotoxin 5 ,3FTx,Naja haje haje ,Elapidae,9.565977,-1.284096,9.256068
BDJ,Cytotoxin 4 ,3FTx,Naja annulifera ,Elapidae,9.702124,-2.2664359,9.539906
BDK,Cytotoxin 3 ,3FTx,Naja annulifera ,Elapidae,10.011591,-2.0155983,9.6171465
BDL,Cytotoxin 8 ,3FTx,Naja annulifera ,Elapidae,9.915274,-1.9882715,9.6784935
BDM,Cytotoxin 1 ,3FTx,Naja melanoleuca ,Elapidae,9.104603,-1.373887,9.779855
BDN,Cytotoxin 9 ,3FTx,Naja annulifera ,Elapidae,9.133816,-0.99318826,9.39231
BDO,Cytotoxin 10 ,3FTx,Naja annulifera ,Elapidae,9.194798,-1.0955422,9.633624
BDP,Neurotoxin 3FTxLI ,3FTx,Bungarus fasciatus ,Elapidae,10.582253,-0.6819386,3.6470115
BDQ,Short neurotoxin 2 ,3FTx,Bungarus fasciatus ,Elapidae,10.260181,-0.8684393,3.7138858
BDR,Neurotoxin 3FTxLK ,3FTx,Bungarus fasciatus ,Elapidae,10.220323,-0.61764896,3.774367
BDS,-,snake genomic,Python bivittatus,Pythonidae,-0.9663918,8.806908,-2.7143984
BDT,Dendroaspis polylepis MT9 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.357,0.19272047,1.7780557
BDU,Toxin S4C8 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae,10.254988,0.6009592,1.4206666
BDV,Toxin C10S2C2 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.531492,0.39996698,1.2421514
BDW,Toxin FS2 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.372137,0.26522848,1.4167973
BDX,Calciseptin ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.538594,0.37030134,1.3750782
BDY,Acetylcholinesterase toxin C ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.511847,0.44058776,0.72565925
BDZ,Fasciculin2 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.513779,0.6278384,0.35324624
BEA,Fasciculin1 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.6033745,0.3979622,0.6985098
BEB,Toxin C13S1C1 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.798351,-2.768191,8.783
BEC,Toxin FVIII ,3FTx,Dendroaspis angusticeps ,Elapidae,10.498086,0.41769698,1.9842955
BED,-,snake genomic,Pseudonaja textilis,Elapidae,-0.7890338,8.9277525,-2.6886995
BEE,Toxin 4.9.6 ,3FTx,Dendroaspis viridis ,Elapidae,10.439249,0.29444218,1.8972615
BEF,Toxin S5C4 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae,10.420598,0.31742722,1.7212431
BEG,Cardiotoxin homolog TActxlike ,3FTx,Bungarus multicinctus ,Elapidae,10.144927,2.2077157,2.3633218
BEH,Candiduxin2 ,3FTx,Bungarus candidus ,Elapidae,10.317921,2.2940257,2.4540987
BEI,Neurotoxinlike protein pMD18NTL3 ,3FTx,Bungarus multicinctus ,Elapidae,10.257903,2.075881,2.5188873
BEJ,Short neurotoxin homolog NTL1 ,3FTx,Bungarus multicinctus ,Elapidae,10.246979,2.070985,2.3745
BEK,Candiduxin1 ,3FTx,Bungarus candidus ,Elapidae,10.347542,2.1404707,2.5001442
BEL,Muscarinic toxinlike protein ,3FTx,Bungarus multicinctus ,Elapidae,10.225282,1.8189217,2.0975633
BEM,Muscarinic toxinlike protein 3 ,3FTx,Naja kaouthia ,Elapidae,10.166592,1.8134537,2.1000302
BEN,Ringhalexin ,3FTx,Hemachatus haemachatus ,Elapidae,11.219658,3.501255,6.967782
BEO,-,snake genomic,Protobothrops mucrosquamatus,Viperidae,-0.7158653,8.814047,-2.7967472
BEP,Neurotoxin BM101like ,3FTx,Bungarus multicinctus ,Elapidae,11.058061,2.9418533,5.1508055
BEQ,Candoxin ,3FTx,Bungarus candidus ,Elapidae,10.905894,3.1833277,5.0782394
BER,Long neurotoxin homolog ,3FTx,Bungarus multicinctus ,Elapidae,11.10641,3.0713828,5.214077
BES,Toxin 3FTxOxy5 ,3FTx,Oxyuranus microlepidotus ,Elapidae,10.641905,-0.7956123,4.0958223
BET,Short neurotoxin 3 ,3FTx,Oxyuranus scutellatus scutellatus ,Elapidae,10.544252,-0.8254708,4.117696
BEU,Scutelatoxin ,3FTx,Oxyuranus scutellatus scutellatus ,Elapidae,10.539331,-0.884251,3.747296
BEV,Short neurotoxin 6 ,3FTx,Pseudonaja textilis ,Elapidae,10.007723,-1.1593205,4.2359157
BEW,Short neurotoxin 7 ,3FTx,Pseudonaja textilis ,Elapidae,10.60645,-0.7953803,4.262394
BEX,Short neurotoxin 1/5 ,3FTx,Pseudonaja textilis ,Elapidae,10.320092,-1.0465001,4.1386323
BEY,Short neurotoxin 4 ,3FTx,Pseudonaja textilis ,Elapidae,10.2303095,-1.1657617,4.2462273
BEZ,-,Ly-6,Pogona vitticeps,Agamidae,-0.6126469,8.618542,-2.803725
BFA,Short neurotoxin 8 ,3FTx,Pseudonaja textilis ,Elapidae,10.400535,-1.0079025,4.1838875
BFB,Short neurotoxin 2 ,3FTx,Pseudonaja textilis ,Elapidae,10.062246,-0.92494446,4.0649266
BFC,Short neurotoxin 3 ,3FTx,Pseudonaja textilis ,Elapidae,10.157372,-0.9506054,4.070965
BFD,Muscarinic toxin 38 ,3FTx,Ophiophagus hannah ,Elapidae,10.320821,2.21841,3.3306074
BFE,Muscarinic toxin MTX6 ,3FTx,Ophiophagus hannah ,Elapidae,10.548248,2.1333678,3.87807
BFF,Neurotoxin 3FTx8a ,3FTx,Bungarus fasciatus ,Elapidae,12.415459,3.9750388,6.3768053
BFG,Weak toxin 3 ,3FTx,Bungarus candidus ,Elapidae,12.518849,4.3954945,6.571129
BFH,Weak toxin 2 ,3FTx,Bungarus candidus ,Elapidae,12.523162,4.21365,6.4441133
BFI,Weak toxin 1 ,3FTx,Bungarus candidus ,Elapidae,12.494785,4.179016,6.5784044
BFJ,Tryptophancontaining weak neurotoxin ,3FTx,Naja kaouthia ,Elapidae,11.550476,3.3141603,6.829767
BFK,-,Ly-6,Anolis carolinensis,Dactyloidae,-0.7892269,8.501136,-2.7815566
BFL,Probable weak neurotoxin NNAM2 ,3FTx,Naja atra ,Elapidae,12.096375,3.4464037,6.7469893
BFM,Probable weak neurotoxin NNAM2I ,3FTx,Naja atra ,Elapidae,11.665912,3.39509,7.07364
BFN,Weak toxin CM9a ,3FTx,Naja kaouthia ,Elapidae,11.773715,3.3261895,6.6478233
BFO,Weak neurotoxin 9 ,3FTx,Naja sputatrix ,Elapidae,11.700651,3.569853,7.063462
BFP,Weak neurotoxin 8 ,3FTx,Naja sputatrix ,Elapidae,11.794967,3.6274755,7.1975217
BFQ,Weak neurotoxin 5 ,3FTx,Naja sputatrix ,Elapidae,11.868725,3.5301836,6.97153
BFR,Weak neurotoxin 6 ,3FTx,Naja sputatrix ,Elapidae,11.956649,3.586063,7.012139
BFS,Weak neurotoxin WNTX34 ,3FTx,Ophiophagus hannah ,Elapidae,12.275946,2.9623837,6.461484
BFT,Weak neurotoxin 10 ,3FTx,Naja sputatrix ,Elapidae,12.326948,2.684217,6.362974
BFU,Weak neurotoxin 7 ,3FTx,Naja naja ,Elapidae,12.088346,2.7838128,6.3943195
BFV,-,Ly-6,Varanus komodoensis,Anguimorpha,-0.5482388,8.777027,-2.661951
BFW,Weak neurotoxin 8 ,3FTx,Naja naja ,Elapidae,12.174112,2.8305318,6.3370647
BFX,Weak neurotoxin 5 ,3FTx,Naja naja ,Elapidae,11.636229,3.0721602,6.0974355
BFY,Weak toxin CM10 ,3FTx,Naja nivea ,Elapidae,12.107411,2.7638495,6.3565073
BFZ,Weak toxin CM13b ,3FTx,Naja annulifera ,Elapidae,12.031047,2.9059777,5.9543176
BGA,Neurotoxin 3FTxLT ,3FTx,Bungarus fasciatus ,Elapidae,12.452783,3.4815629,5.9405055
BGB,Three finger toxin WV ,3FTx,Walterinnesia aegyptia ,Elapidae,12.03405,3.5406044,6.1945205
BGC,Probable weak neurotoxin NNAM3 ,3FTx,Naja atra ,Elapidae,11.805407,3.0373538,6.228038
BGD,Weak toxin CM11 ,3FTx,Naja haje haje ,Elapidae,12.2292,3.0095747,6.0166626
BGE,Weak toxin S4C11 ,3FTx,Naja melanoleuca ,Elapidae,12.087096,3.483405,5.9243507
BGF,Oxiana weak toxin ,3FTx,Naja oxiana ,Elapidae,12.2080765,3.1392212,5.986421
BGG,-,Ly-6,Anolis carolinensis,Dactyloidae,10.301182,7.014854,7.14535
BGH,Weak neurotoxin 6 ,3FTx,Naja naja ,Elapidae,12.163403,3.031094,6.2893963
BGI,Long neurotoxin homolog ,3FTx,Naja atra ,Elapidae,12.272685,2.972709,6.285554
BGJ,Weak toxin NWT ,3FTx,Naja kaouthia ,Elapidae,9.82327,0.8520001,2.0326414
BGK,Long neurotoxin homolog Pa ID ,3FTx,Pseudechis australis ,Elapidae,14.523784,6.957436,-0.60489094
BGL,AlphaelapitoxinLs2a ,3FTx,Laticauda semifasciata ,Elapidae,15.54647,7.140989,-0.49198714
BGM,AlphaelapitoxinLc2c ,3FTx,Laticauda colubrina ,Elapidae,14.612802,6.674028,0.49789083
BGN,Toxin Lc a ,3FTx,Laticauda colubrina ,Elapidae,14.760101,6.599101,0.46562833
BGO,Toxin Lc b ,3FTx,Laticauda colubrina ,Elapidae,14.81067,6.6795664,0.56454664
BGP,Long neurotoxin OH57 ,3FTx,Ophiophagus hannah ,Elapidae,14.864492,7.0419893,-0.02074099
