mapped_id,original_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AQW,Micrurus_altirostris_F5CPD2,-,3FTx,Micrurus altirostris,Elapidae
AQX,Micrurus_browni_A0A0H4J512,-,3FTx,Micrurus browni,Elapidae
AQY,Micrurus_frontalis_P86420,-,3FTx,Micrurus frontalis,Elapidae
AQZ,Micrurus_browni_A0A0H4IVP7,-,3FTx,Micrurus browni,Elapidae
ARA,"Phci_2 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
ARB,Micrurus_diastema_A0A0G3YJD1,-,3FTx,Micrurus diastema,Elapidae
ARC,Micrurus_tener_A0A194ASE0,-,3FTx,Micrurus_ tener,Elapidae
ARD,Micrurus_tener_A0A194ATB0,-,3FTx,Micrurus_ tener,Elapidae
ARE,Cbivi_3FTx_110,-,3FTx,Calliophis bivirgatus,Elapidae
ARF,Cbivi_3FTx_039,-,3FTx,Calliophis bivirgatus,Elapidae
ARG,Cbivi_3FTx_118,-,3FTx,Calliophis bivirgatus,Elapidae
ARH,Cbivi_3FTx_065,-,3FTx,Calliophis bivirgatus,Elapidae
ARI,Cbivi_3FTx_070,-,3FTx,Calliophis bivirgatus,Elapidae
ARJ,Cbivi_3FTx_041,-,3FTx,Calliophis bivirgatus,Elapidae
ARK,Cbivi_3FTx_053,-,3FTx,Calliophis bivirgatus,Elapidae
ARL,"Oran3 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
ARM,Cbivi_3FTx_078,-,3FTx,Calliophis bivirgatus,Elapidae
ARN,Cbivi_3FTx_100,-,3FTx,Calliophis bivirgatus,Elapidae
ARO,Cbivi_3FTx_106,-,3FTx,Calliophis bivirgatus,Elapidae
ARP,Cbivi_3FTx_040,-,3FTx,Calliophis bivirgatus,Elapidae
ARQ,Cbivi_3FTx_037,-,3FTx,Calliophis bivirgatus,Elapidae
ARR,Cbivi_3FTx_115,-,3FTx,Calliophis bivirgatus,Elapidae
ARS,Cbivi_3FTx_048,-,3FTx,Calliophis bivirgatus,Elapidae
ART,Cbivi_3FTx_063,-,3FTx,Calliophis bivirgatus,Elapidae
ARU,Cbivi_3FTx_088,-,3FTx,Calliophis bivirgatus,Elapidae
ARV,Cbivi_3FTx_097,-,3FTx,Calliophis bivirgatus,Elapidae
ARW,"Xetr_2 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
ARX,Cbivi_3FTx_045,-,3FTx,Calliophis bivirgatus,Elapidae
ARY,Cbivi_3FTx_094,-,3FTx,Calliophis bivirgatus,Elapidae
ARZ,Cbivi_3FTx_075,-,3FTx,Calliophis bivirgatus,Elapidae
ASA,Cbivi_3FTx_086,-,3FTx,Calliophis bivirgatus,Elapidae
ASB,Cbivi_3FTx_102,-,3FTx,Calliophis bivirgatus,Elapidae
ASC,Cbivi_3FTx_058,-,3FTx,Calliophis bivirgatus,Elapidae
ASD,Cbivi_3FTx_074,-,3FTx,Calliophis bivirgatus,Elapidae
ASE,Cbivi_3FTx_012,-,3FTx,Calliophis bivirgatus,Elapidae
ASF,Cbivi_3FTx_098,-,3FTx,Calliophis bivirgatus,Elapidae
ASG,Micrurus_diastema_A0A0H4BFQ4,-,3FTx,Micrurus diastema,Elapidae
ASH,"Xetr4 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
ASI,Micrurus_diastema_A0A0H4BLZ2,-,3FTx,Micrurus diastema,Elapidae
ASJ,Micrurus_browni_A0A0H4BJD8,-,3FTx,Micrurus browni,Elapidae
ASK,Micrurus_laticollaris_A0A0H4BJD1,-,3FTx,Micrurus laticollaris,Elapidae
ASL,Micrurus_laticollaris_A0A0H4BLY9,-,3FTx,Micrurus laticollaris,Elapidae
ASM,Micrurus_fulvius_U3FVG5,-,3FTx,Micrurus fulvius,Elapidae
ASN,Micrurus_fulvius_U3FAC0,-,3FTx,Micrurus fulvius,Elapidae
ASO,Micrurus_tener_A0A194AT81,-,3FTx,Micrurus_ tener,Elapidae
ASP,Micrurus_fulvius_U3F5B5,-,3FTx,Micrurus fulvius,Elapidae
ASQ,Micrurus_fulvius_U3FVG7,-,3FTx,Micrurus fulvius,Elapidae
ASR,Micrurus_tener_A0A194APB1,-,3FTx,Micrurus_ tener,Elapidae
ASS,"Xetr_7 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
AST,Micrurus_fulvius_U3FYQ0,-,3FTx,Micrurus fulvius,Elapidae
ASU,Micrurus_fulvius_U3EPI1,-,3FTx,Micrurus fulvius,Elapidae
ASV,Micrurus_browni_A0A0H4IS74,-,3FTx,Micrurus browni,Elapidae
ASW,Micrurus_corallinus_C6JUP4,-,3FTx,Micrurus corallinus,Elapidae
ASX,Micrurus_tener_A0A194ASE3,-,3FTx,Micrurus_ tener,Elapidae
ASY,Micrurus_fulvius_U3FYR0,-,3FTx,Micrurus fulvius,Elapidae
ASZ,Micrurus_tener_A0A0H4J521,-,3FTx,Micrurus_ tener,Elapidae
ATA,Micrurus_fulvius_U3FVI0,-,3FTx,Micrurus fulvius,Elapidae
ATB,Micrurus_fulvius_U3EPL9,-,3FTx,Micrurus fulvius,Elapidae
ATC,Micrurus_fulvius_U3FYQ7,-,3FTx,Micrurus fulvius,Elapidae
ATD,"Xetr_6 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
ATE,Micrurus_tener_A0A194ARJ0,-,3FTx,Micrurus_ tener,Elapidae
ATF,Micrurus_corallinus_C6JUP5,-,3FTx,Micrurus corallinus,Elapidae
ATG,Micrurus_tener_A0A194ARC5,-,3FTx,Micrurus_ tener,Elapidae
ATH,Micrurus_fulvius_U3FYQ5,-,3FTx,Micrurus fulvius,Elapidae
ATI,Micrurus_fulvius_U3FVI5,-,3FTx,Micrurus fulvius,Elapidae
ATJ,Micrurus_laticollaris_A0A0H4BKI7,-,3FTx,Micrurus laticollaris,Elapidae
ATK,Micrurus_laticollaris_A0A0H4BFP9,-,3FTx,Micrurus laticollaris,Elapidae
ATL,Micrurus_fulvius_A0A0F7YZP6,-,3FTx,Micrurus fulvius,Elapidae
ATM,Micrurus_tener_A0A194ATC0,-,3FTx,Micrurus_ tener,Elapidae
ATN,Micrurus_tener_A0A194APG5,-,3FTx,Micrurus_ tener,Elapidae
ATO,"Xetr_1 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
ATP,Micrurus_tener_A0A194ASE5,-,3FTx,Micrurus_ tener,Elapidae
ATQ,Micrurus_tener_A0A194ARJ5,-,3FTx,Micrurus_ tener,Elapidae
ATR,Micrurus_tener_A0A194ATC3,-,3FTx,Micrurus_ tener,Elapidae
ATS,Micrurus_tener_A0A194APH0,-,3FTx,Micrurus_ tener,Elapidae
ATT,Micrurus_tener_A0A194ATB5,-,3FTx,Micrurus_ tener,Elapidae
ATU,Micrurus_tener_A0A194APH5,-,3FTx,Micrurus_ tener,Elapidae
ATV,Micrurus_tener_A0A194ARC1,-,3FTx,Micrurus_ tener,Elapidae
ATW,Micrurus_tener_A0A194ARK4,-,3FTx,Micrurus_ tener,Elapidae
ATX,Micrurus_altirostris_AED89572,-,3FTx,Micrurus altirostris,Elapidae
ATY,Micrurus_fulvius_JAS05071,-,3FTx,Micrurus fulvius,Elapidae
ATZ,"Xetr_3 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
AUA,"Phci_8 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AUB,Micrurus_tener_JAS05188,-,3FTx,Micrurus_ tener,Elapidae
AUC,Cbivi_3FTx_024,-,3FTx,Calliophis bivirgatus,Elapidae
AUD,Cbivi_3FTx_034,-,3FTx,Calliophis bivirgatus,Elapidae
AUE,Cbivi_3FTx_029,-,3FTx,Calliophis bivirgatus,Elapidae
AUF,Cbivi_3FTx_032,-,3FTx,Calliophis bivirgatus,Elapidae
AUG,Cbivi_3FTx_116,-,3FTx,Calliophis bivirgatus,Elapidae
AUH,Cbivi_3FTx_031,-,3FTx,Calliophis bivirgatus,Elapidae
AUI,Cbivi_3FTx_020,-,3FTx,Calliophis bivirgatus,Elapidae
AUJ,Cbivi_3FTx_022,-,3FTx,Calliophis bivirgatus,Elapidae
AUK,Cbivi_3FTx_036,-,3FTx,Calliophis bivirgatus,Elapidae
AUL,"Xetr_8 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
AUM,Cbivi_3FTx_015,-,3FTx,Calliophis bivirgatus,Elapidae
AUN,Cbivi_3FTx_044,-,3FTx,Calliophis bivirgatus,Elapidae
AUO,Cbivi_3FTx_095,-,3FTx,Calliophis bivirgatus,Elapidae
AUP,Cbivi_3FTx_019,-,3FTx,Calliophis bivirgatus,Elapidae
AUQ,Cbivi_3FTx_038,-,3FTx,Calliophis bivirgatus,Elapidae
AUR,Cbivi_3FTx_067,-,3FTx,Calliophis bivirgatus,Elapidae
AUS,Cbivi_3FTx_047,-,3FTx,Calliophis bivirgatus,Elapidae
AUT,Cbivi_3FTx_085,-,3FTx,Calliophis bivirgatus,Elapidae
AUU,Cbivi_3FTx_009,-,3FTx,Calliophis bivirgatus,Elapidae
AUV,Cbivi_3FTx_011,-,3FTx,Calliophis bivirgatus,Elapidae
AUW,"Xetr_5 Xenopus tropicalis strain Nigerian chromosome 6, Xenopus_tropicalis_v9.1, whole genome shotgun sequence",-,Ly-6,Xenopus tropicalis,Anura
AUX,Cbivi_3FTx_003,-,3FTx,Calliophis bivirgatus,Elapidae
AUY,Cbivi_3FTx_087,-,3FTx,Calliophis bivirgatus,Elapidae
AUZ,Cbivi_3FTx_096,-,3FTx,Calliophis bivirgatus,Elapidae
AVA,Micrurus_altirostris_F5CPD1,-,3FTx,Micrurus altirostris,Elapidae
AVB,Micrurus_tener_A0A194ATD7,-,3FTx,Micrurus_ tener,Elapidae
AVC,Micrurus_tener_A0A194API9,-,3FTx,Micrurus_ tener,Elapidae
AVD,Micrurus_browni_A0A0H4BEG5,-,3FTx,Micrurus browni,Elapidae
AVE,Micrurus_corallinus_C6JUP0,-,3FTx,Micrurus corallinus,Elapidae
AVF,Micrurus_tener_A0A0H4IUP1,-,3FTx,Micrurus_ tener,Elapidae
AVG,Micrurus_fulvius_U3FVH8,-,3FTx,Micrurus fulvius,Elapidae
AVH,"Vako_dn2 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
AVI,Micrurus_tener_JAS05190,-,3FTx,Micrurus_ tener,Elapidae
AVJ,Micrurus_fulvius_U3FYQ9,-,3FTx,Micrurus fulvius,Elapidae
AVK,Micrurus_browni_A0A0H4BLZ7,-,3FTx,Micrurus browni,Elapidae
AVL,Micrurus_diastema_A0A0H4BEF7,-,3FTx,Micrurus diastema,Elapidae
AVM,Micrurus_tener_A0A0H4IS80,-,3FTx,Micrurus_ tener,Elapidae
AVN,Micrurus_tener_A0A194ASF5,-,3FTx,Micrurus_ tener,Elapidae
AVO,"Hosa_3 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",SLURP1 (secreted Ly-6/uPAR-related protein 1),Ly-6,Homo sapiens,Placentalia
AVP,"Gaga_2 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AVQ,"Alsi_2 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AVR,"Oran2 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AVS,"Nana_c3_8 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AVT,"Pste_4 Pseudonaja textilis unplaced genomic scaffold, EBS10Xv2PRI ULFR01000082.1, whole genome shotgun sequence",-,snake genomic,Pseudonaja textilis,Elapidae
AVU,"Gaga_3 Gallus gallus isolate RJF #256 breed Red Jungle fowl, inbred line UCD001 chromosome 2, Gallus_gallus5.0, whole genome shotgun sequence",-,Ly-6,Gallus gallus,Galliformes
AVV,"Phci_14 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AVW,"Phci_3 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AVX,"Chmy_3 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AVY,"Hosa_4 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LYPD2,Ly-6,Homo sapiens,Placentalia
AVZ,"Oran1 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AWA,"Alsi_3 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AWB,"Povi_3 Pogona vitticeps unplaced genomic scaffold, pvi1.1.0 contig9221, whole genome shotgun sequence",-,Ly-6,Pogona vitticeps,Agamidae
AWC,"Anca_3 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AWD,"Vako_dn3 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
AWE,"Chmy_2 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AWF,"Anca_2 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AWG,"Povi_7 Pogona vitticeps unplaced genomic scaffold, pvi1.1.0 contig9221, whole genome shotgun sequence",-,Ly-6,Pogona vitticeps,Agamidae
AWH,"Oran_dn_10 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AWI,"Pste_3 Pseudonaja textilis unplaced genomic scaffold, EBS10Xv2PRI ULFR01000082.1, whole genome shotgun sequence",-,snake genomic,Pseudonaja textilis,Elapidae
AWJ,"Prmu_7 Protobothrops mucrosquamatus isolate PMUCROS unplaced genomic scaffold, P.Mucros_1.0 scaffold4200, whole genome shotgun sequence",-,snake genomic,Protobothrops mucrosquamatus,Viperidae
AWK,"Pybi_2 Python bivittatus unplaced genomic scaffold, Python_molurus_bivittatus5.0.2 Scaffold2194, whole genome shotgun sequence",-,snake genomic,Python bivittatus,Pythonidae
AWL,"Phci_11 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AWM,"Anca_4 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AWN,"Vako_dn4 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
AWO,"Nana_c3_dn_9 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AWP,"Povi_4 Pogona vitticeps unplaced genomic scaffold, pvi1.1.0 contig9221, whole genome shotgun sequence",-,Ly-6,Pogona vitticeps,Agamidae
AWQ,"Nana_c1_1 Naja naja isolate NN01 chromosome 1, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AWR,"Phci_15 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AWS,"Vako_dn8 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
AWT,"Hosa_14 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6H,Ly-6,Homo sapiens,Placentalia
AWU,"Phci_16 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AWV,"Oran6 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AWW,"Hosa_7 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LY6D,Ly-6,Homo sapiens,Placentalia
AWX,"Phci_7 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AWY,"Nana_c3_dn_19 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AWZ,"Nana_c3_16 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXA,"Nana_c3_dn_17 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXB,"Nana_c3_dn_5 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXC,"Prmu_3 Protobothrops mucrosquamatus isolate PMUCROS unplaced genomic scaffold, P.Mucros_1.0 scaffold1777, whole genome shotgun sequence",-,snake genomic,Protobothrops mucrosquamatus,Viperidae
AXD,"Povi_9 Pogona vitticeps unplaced genomic scaffold, pvi1.1.0 contig9221, whole genome shotgun sequence",-,Ly-6,Pogona vitticeps,Agamidae
AXE,"Pste1 Pseudonaja textilis unplaced genomic scaffold, EBS10Xv2PRI ULFR01000082.1, whole genome shotgun sequence",-,snake genomic,Pseudonaja textilis,Elapidae
AXF,"Nana_c3_dn_1 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXG,"Nana_c3_dn_4 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXH,"Nana_c3_28 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXI,"Nana_c3_dn_12 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXJ,"Nana_c3_dn_15 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXK,"Nana_c3_dn_14 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXL,"Nana_c3_dn_18 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXM,"Nana_c3_dn_26 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXN,"Nana_c3_dn_20 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXO,"Pste_7 Pseudonaja textilis unplaced genomic scaffold, EBS10Xv2PRI ULFR01000082.1, whole genome shotgun sequence",-,snake genomic,Pseudonaja textilis,Elapidae
AXP,"Nana_c3_dn_27 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXQ,"Prmu_4 Protobothrops mucrosquamatus isolate PMUCROS unplaced genomic scaffold, P.Mucros_1.0 scaffold1777, whole genome shotgun sequence",-,snake genomic,Protobothrops mucrosquamatus,Viperidae
AXR,"Prmu_2 Protobothrops mucrosquamatus isolate PMUCROS unplaced genomic scaffold, P.Mucros_1.0 scaffold1777, whole genome shotgun sequence",-,snake genomic,Protobothrops mucrosquamatus,Viperidae
AXS,"Nana_c4_dn_1 Naja naja isolate NN01 chromosome 4, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXT,"Pste_s337_1 Pseudonaja textilis unplaced genomic scaffold, EBS10Xv2PRI ULFR01000030.1, whole genome shotgun sequence",-,snake genomic,Pseudonaja textilis,Elapidae
AXU,"Nana_c3_dn_2 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXV,"Nana_c3_dn_3 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXW,"Nana_c3_dn_6 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXX,"Nana_c3_dn_24 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXY,"Nana_c3_dn_23 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AXZ,"Anca_8 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AYA,"Phci_13 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AYB,"Phci_6 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AYC,"Oran_dn5 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AYD,"Hosa_6 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LYNX1 (ly-6/neurotoxin-like protein 1),Ly-6,Homo sapiens,Placentalia
AYE,"Phci_4 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AYF,"Oran9 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AYG,"Phci_5 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00059, whole genome shotgun sequence",-,Ly-6,Phascolarctos cinctus,Marsupials
AYH,"Oran7 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AYI,"Oran_2 Ornithorhynchus anatinus isolate Glennie unplaced genomic scaffold, Ornithorhynchus_anatinus5.0.1, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AYJ,"Alsi_4 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
AYK,"Vako7 Varanus komodoensis strain SLA01 unplaced genomic scaffold, ASM479886v1 scaffold78, whole genome shotgun sequence",-,Ly-6,Varanus komodoensis,Anguimorpha
AYL,"Hosa_5 Homo sapiens chromosome 8, GRCh38.p12 Primary Assembly",LYNX1-SLURP2,Ly-6,Homo sapiens,Placentalia
AYM,"Oran_dn4 Ornithorhynchus anatinus isolate Pmale09 chromosome 4, mOrnAna1.pri.v4, whole genome shotgun sequence",-,Ly-6,Ornithorhynchus anatinus,Monotremata
AYN,sp|U3FAE1|3SXA_MICFL Fulditoxin OS=Micrurus fulvius OX=8637 PE=1 SV=1,Fulditoxin ,3FTx,Micrurus fulvius ,Elapidae
AYO,sp|A8N286|3SO8_OPHHA Haditoxin OS=Ophiophagus hannah OX=8665 PE=1 SV=1,Haditoxin ,3FTx,Ophiophagus hannah ,Elapidae
AYP,sp|A0S864|3NBA_BOIIR Irditoxin both subunnits OS=Boiga irregularis OX=92519 PE=1 SV=1,Irditoxin both subunnits ,3FTx,Boiga irregularis ,Colubridae
AYQ,sp|A0S864_2|3NBA_BOIIR Irditoxin both subunnits OS=Boiga irregularis OX=92519 PE=1 SV=1,Irditoxin both subunnits ,3FTx,Boiga irregularis ,Colubridae
AYR,sp|C0HK04|3SX1_MICCK Clarkitoxin1 OS=Micrurus clarki OX=1817999 PE=1 SV=1,Clarkitoxin1 ,3FTx,Micrurus clarki ,Elapidae
AYS,sp|C0HLK5|3SX1_MICDM ClarkitoxinIMdum OS=Micrurus dumerilii OX=1337871 PE=1 SV=1,ClarkitoxinIMdum ,3FTx,Micrurus dumerilii ,Elapidae
AYT,sp|F5CPD3|3SX4_MICAT Threefinger toxin MALT0044C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Threefinger toxin MALT0044C ,3FTx,Micrurus altirostris ,Elapidae
AYU,sp|C6JUP2|3NO22_MICCO Threefinger toxin 3FTx2 OS=Micrurus corallinus OX=54390 PE=1 SV=1,Threefinger toxin 3FTx2 ,3FTx,Micrurus corallinus ,Elapidae
AYV,"Anca_7 Anolis carolinensis unplaced genomic scaffold, AnoCar2.0 chrUn0030, whole genome shotgun sequence",-,Ly-6,Anolis carolinensis,Dactyloidae
AYW,sp|A7X3S0|3NB2_TRIBI Toxin 3FTxTri2 OS=Trimorphodon biscutatus OX=338818 PE=3 SV=1,Toxin 3FTxTri2 ,3FTx,Trimorphodon biscutatus ,Colubridae
AYX,sp|A7X3S2|3NB3_TRIBI Toxin 3FTxTri3 OS=Trimorphodon biscutatus OX=338818 PE=3 SV=1,Toxin 3FTxTri3 ,3FTx,Trimorphodon biscutatus ,Colubridae
AYY,sp|Q06ZW0|3NB_BOIDE Denmotoxin OS=Boiga dendrophila OX=46286 PE=1 SV=1,Denmotoxin ,3FTx,Boiga dendrophila ,Colubridae
AYZ,sp|P83490|3NBB_COERA Alphacolubritoxin OS=Coelognathus radiatus OX=201391 PE=1 SV=1,Alphacolubritoxin ,3FTx,Coelognathus radiatus ,Colubridae
